"자치구별(1)",2022,2022,2022,2022,2022,2022,2022,2022,2022
"자치구별(1)",모의 평균 출산 연령 (세),출생아수 (명),모의 연령별 출생아수 (세),모의 연령별 출생아수 (세),모의 연령별 출생아수 (세),모의 연령별 출생아수 (세),모의 연령별 출생아수 (세),모의 연령별 출생아수 (세),모의 연령별 출생아수 (세)
"자치구별(1)",소계,소계,15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세
"합계",34.39,42602,41,447,4143,19884,14775,3182,62
"종로구",34.92,464,-,6,44,175,191,47,1
"중구",34.83,587,-,7,44,253,229,52,1
"용산구",34.83,1110,-,10,86,494,421,97,2
"성동구",34.74,1690,1,12,123,791,632,130,1
"광진구",34.45,1278,-,13,137,575,444,105,3
"동대문구",34.50,1475,-,19,130,713,497,112,3
"중랑구",33.91,1860,2,32,245,844,610,124,3
"성북구",34.45,1896,1,32,163,879,660,155,5
"강북구",33.87,855,4,22,120,376,268,65,-
"도봉구",34.11,1092,1,20,136,485,373,75,2
"노원구",34.15,2246,2,20,234,1087,749,149,3
"은평구",34.41,2072,6,19,175,992,730,149,1
"서대문구",34.55,1363,4,17,131,611,486,111,2
"마포구",34.55,1761,-,8,137,863,621,131,-
"양천구",34.13,1682,1,21,217,761,542,136,4
"강서구",34.02,2865,3,39,327,1391,929,169,7
"구로구",34.15,2057,3,18,211,1032,650,141,2
"금천구",33.59,1004,3,13,165,464,295,64,-
"영등포구",34.48,2262,2,16,189,1079,808,165,3
"동작구",34.38,1696,1,18,150,827,585,114,1
"관악구",34.31,1615,-,26,166,706,527,131,3
"서초구",34.76,1864,-,9,152,847,694,157,4
"강남구",34.98,1996,1,4,145,889,767,187,3
"송파구",34.58,3284,4,21,256,1581,1190,227,5
"강동구",34.37,2528,2,25,260,1169,877,189,3
